code,system
4258640000000000.0,gprdproduct
2780940000000000.0,gprdproduct
1.21866e+16,gprdproduct
3345940000000000.0,gprdproduct
1.06743e+16,gprdproduct
1508340000000000.0,gprdproduct
1.26007e+16,gprdproduct
736141000000000.0,gprdproduct
8264340000000000.0,gprdproduct
2916940000000000.0,gprdproduct
2953940000000000.0,gprdproduct
3137140000000000.0,gprdproduct
2953440000000000.0,gprdproduct
1818240000000000.0,gprdproduct
2267240000000000.0,gprdproduct
2644640000000000.0,gprdproduct
2018840000000000.0,gprdproduct
4258540000000000.0,gprdproduct
721341000000000.0,gprdproduct
2266840000000000.0,gprdproduct
2953540000000000.0,gprdproduct
8264440000000000.0,gprdproduct
2953040000000000.0,gprdproduct
1821640000000000.0,gprdproduct
1739940000000000.0,gprdproduct
1621340000000000.0,gprdproduct
3963940000000000.0,gprdproduct
1.06006e+16,gprdproduct
2868040000000000.0,gprdproduct
2917140000000000.0,gprdproduct
961041000000000.0,gprdproduct
723241000000000.0,gprdproduct
727341000000000.0,gprdproduct
1.00446e+16,gprdproduct
2953740000000000.0,gprdproduct
2035540000000000.0,gprdproduct
2954840000000000.0,gprdproduct
926541000000000.0,gprdproduct
1821540000000000.0,gprdproduct
721041000000000.0,gprdproduct
2182240000000000.0,gprdproduct
2954140000000000.0,gprdproduct
2267140000000000.0,gprdproduct
2035440000000000.0,gprdproduct
1.04942e+16,gprdproduct
1.26242e+16,gprdproduct
2953640000000000.0,gprdproduct
1620640000000000.0,gprdproduct
7341000000000.0,gprdproduct
3914240000000000.0,gprdproduct
2182140000000000.0,gprdproduct
735041000000000.0,gprdproduct
3137240000000000.0,gprdproduct
2867940000000000.0,gprdproduct
1.06007e+16,gprdproduct
735341000000000.0,gprdproduct
2158740000000000.0,gprdproduct
763341000000000.0,gprdproduct
735941000000000.0,gprdproduct
1621140000000000.0,gprdproduct
3922640000000000.0,gprdproduct
8264240000000000.0,gprdproduct
2868340000000000.0,gprdproduct
1862040000000000.0,gprdproduct
2796640000000000.0,gprdproduct
1119740000000000.0,gprdproduct
2954440000000000.0,gprdproduct
5403540000000000.0,gprdproduct
720341000000000.0,gprdproduct
1616040000000000.0,gprdproduct
1.26866e+16,gprdproduct
724541000000000.0,gprdproduct
723941000000000.0,gprdproduct
3136940000000000.0,gprdproduct
1271240000000000.0,gprdproduct
1.00445e+16,gprdproduct
3333840000000000.0,gprdproduct
762441000000000.0,gprdproduct
735841000000000.0,gprdproduct
724041000000000.0,gprdproduct
3869340000000000.0,gprdproduct
2867840000000000.0,gprdproduct
1736940000000000.0,gprdproduct
2035640000000000.0,gprdproduct
148841000000000.0,gprdproduct
8263940000000000.0,gprdproduct
726941000000000.0,gprdproduct
4608740000000000.0,gprdproduct
2954340000000000.0,gprdproduct
721641000000000.0,gprdproduct
759841000000000.0,gprdproduct
727641000000000.0,gprdproduct
1.02527e+16,gprdproduct
719841000000000.0,gprdproduct
1508440000000000.0,gprdproduct
2035240000000000.0,gprdproduct
1714040000000000.0,gprdproduct
8264040000000000.0,gprdproduct
735141000000000.0,gprdproduct
2917340000000000.0,gprdproduct
2953140000000000.0,gprdproduct
721541000000000.0,gprdproduct
2780740000000000.0,gprdproduct
725841000000000.0,gprdproduct
757641000000000.0,gprdproduct
2954240000000000.0,gprdproduct
779641000000000.0,gprdproduct
1737040000000000.0,gprdproduct
4608540000000000.0,gprdproduct
962241000000000.0,gprdproduct
725141000000000.0,gprdproduct
3345840000000000.0,gprdproduct
725341000000000.0,gprdproduct
779141000000000.0,gprdproduct
724341000000000.0,gprdproduct
1821440000000000.0,gprdproduct
1.26008e+16,gprdproduct
3277740000000000.0,gprdproduct
4126540000000000.0,gprdproduct
2954640000000000.0,gprdproduct
2724740000000000.0,gprdproduct
736041000000000.0,gprdproduct
2798840000000000.0,gprdproduct
1616340000000000.0,gprdproduct
823541000000000.0,gprdproduct
720541000000000.0,gprdproduct
726641000000000.0,gprdproduct
2799040000000000.0,gprdproduct
9641000000000.0,gprdproduct
1.21865e+16,gprdproduct
2953240000000000.0,gprdproduct
2868240000000000.0,gprdproduct
1.24862e+16,gprdproduct
1621240000000000.0,gprdproduct
2954740000000000.0,gprdproduct
2952940000000000.0,gprdproduct
1818540000000000.0,gprdproduct
1.0674e+16,gprdproduct
1749440000000000.0,gprdproduct
2158540000000000.0,gprdproduct
2724840000000000.0,gprdproduct
4608640000000000.0,gprdproduct
2867740000000000.0,gprdproduct
2018940000000000.0,gprdproduct
779841000000000.0,gprdproduct
1861940000000000.0,gprdproduct
2954040000000000.0,gprdproduct
2868440000000000.0,gprdproduct
1862340000000000.0,gprdproduct
1818140000000000.0,gprdproduct
1616240000000000.0,gprdproduct
2867640000000000.0,gprdproduct
6011840000000000.0,gprdproduct
1.26009e+16,gprdproduct
2953840000000000.0,gprdproduct
1615940000000000.0,gprdproduct
915641000000000.0,gprdproduct
2796740000000000.0,gprdproduct
727041000000000.0,gprdproduct
2953340000000000.0,gprdproduct
2034440000000000.0,gprdproduct
1.06739e+16,gprdproduct
1.14933e+16,gprdproduct
5911540000000000.0,gprdproduct
720941000000000.0,gprdproduct
2868140000000000.0,gprdproduct
2267040000000000.0,gprdproduct
8264140000000000.0,gprdproduct
1818440000000000.0,gprdproduct
2780840000000000.0,gprdproduct
2182340000000000.0,gprdproduct
1419540000000000.0,gprdproduct
3345640000000000.0,gprdproduct
735541000000000.0,gprdproduct
776041000000000.0,gprdproduct
961141000000000.0,gprdproduct
9677140000000000.0,gprdproduct
724941000000000.0,gprdproduct
722841000000000.0,gprdproduct
1.04944e+16,gprdproduct
1.02526e+16,gprdproduct
1862240000000000.0,gprdproduct
5910740000000000.0,gprdproduct
9677040000000000.0,gprdproduct
2182440000000000.0,gprdproduct
2798940000000000.0,gprdproduct
1152740000000000.0,gprdproduct
6389640000000000.0,gprdproduct
3345740000000000.0,gprdproduct
2917040000000000.0,gprdproduct
2158440000000000.0,gprdproduct
6456440000000000.0,gprdproduct
2158640000000000.0,gprdproduct
1736840000000000.0,gprdproduct
2266940000000000.0,gprdproduct
1862440000000000.0,gprdproduct
1821740000000000.0,gprdproduct
763941000000000.0,gprdproduct
725941000000000.0,gprdproduct
1818340000000000.0,gprdproduct
735441000000000.0,gprdproduct
1.21864e+16,gprdproduct
3137040000000000.0,gprdproduct
2644740000000000.0,gprdproduct
2034640000000000.0,gprdproduct
4270840000000000.0,gprdproduct
1.06741e+16,gprdproduct
3914340000000000.0,gprdproduct
2954540000000000.0,gprdproduct
2952840000000000.0,gprdproduct
1.24816e+16,gprdproduct
734941000000000.0,gprdproduct
4423040000000000.0,gprdproduct
2917240000000000.0,gprdproduct
722941000000000.0,gprdproduct
1053140000000000.0,gprdproduct
1052940000000000.0,gprdproduct
1053240000000000.0,gprdproduct
1053040000000000.0,gprdproduct
726041000000000.0,gprdproduct
1053540000000000.0,gprdproduct
726241000000000.0,gprdproduct
726141000000000.0,gprdproduct
726341000000000.0,gprdproduct
726441000000000.0,gprdproduct
726541000000000.0,gprdproduct
763241000000000.0,gprdproduct
1616440000000000.0,gprdproduct
725241000000000.0,gprdproduct
719941000000000.0,gprdproduct
720441000000000.0,gprdproduct
724241000000000.0,gprdproduct
1616140000000000.0,gprdproduct
720141000000000.0,gprdproduct
721141000000000.0,gprdproduct
724141000000000.0,gprdproduct
720041000000000.0,gprdproduct
720241000000000.0,gprdproduct
1061940000000000.0,gprdproduct
727141000000000.0,gprdproduct
1061640000000000.0,gprdproduct
727241000000000.0,gprdproduct
1062040000000000.0,gprdproduct
727541000000000.0,gprdproduct
1061840000000000.0,gprdproduct
1061740000000000.0,gprdproduct
727441000000000.0,gprdproduct
764941000000000.0,gprdproduct
735241000000000.0,gprdproduct
734741000000000.0,gprdproduct
734841000000000.0,gprdproduct
725541000000000.0,gprdproduct
1507440000000000.0,gprdproduct
725041000000000.0,gprdproduct
725641000000000.0,gprdproduct